3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,52,0,0,0,,
third_party/blink/renderer/core/css/media_query_evaluator.cc,67,static FunctionMap* g_function_map;,Link,Global,No,Yes,Yes,Map of function pointers initialized from third_party/blink/renderer/core/core_initializer.cc,
third_party/blink/renderer/core/css/parser/css_parser_fast_paths_fuzzer.cc,12,static blink::BlinkFuzzerTestSupport test_support =,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/css/parser/css_parser_proto_fuzzer.cc,23,static Converter converter = Converter();,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/css/parser/css_parser_proto_fuzzer.cc,24,static blink::BlinkFuzzerTestSupport test_support =,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/css/resolver/selector_filter_parent_scope.h,44,static SelectorFilterParentScope* current_scope_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/css/style_attribute_mutation_scope.h,49,static unsigned scope_count_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/css/style_attribute_mutation_scope.h,50,static AbstractPropertySetCSSStyleDeclaration* current_decl_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/css/style_attribute_mutation_scope.h,51,static bool should_notify_inspector_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/css/style_attribute_mutation_scope.h,52,static bool should_deliver_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/css/style_environment_variables.cc,49,static auto* instance = new StyleEnvironmentVariables::RootOwner();,Link,Local,No,No,No,Has children that represent the styles of documents,
third_party/blink/renderer/core/css/style_property_shorthand_custom.cc,47,static StylePropertyShorthand webkit_animation_longhands_for_parsing(,Link,Local,No,Yes,Yes,I made it constexpr and it worked! TODO(fdoray): Land this,
third_party/blink/renderer/core/css/style_property_shorthand_custom.cc,60,static StylePropertyShorthand transition_longhands(,Link,Local,No,Yes,Yes,I made it constexpr and it worked! TODO(fdoray): Land this,
third_party/blink/renderer/core/css/style_sheet_contents_fuzzer.cc,12,static blink::BlinkFuzzerTestSupport test_support =,Link,Local,No,No,Yes,Fuzzer for testing,
third_party/blink/renderer/core/dom/document_lifecycle.cc,42,static DocumentLifecycle::DeprecatedTransition* g_deprecated_transition_stack =,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/document_lifecycle.cc,47,static unsigned g_allow_throttling_count = 0;,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/document.cc,542,static bool g_threaded_parsing_enabled_for_testing = true;,Link,Global,No,No,Yes,For testing,
third_party/blink/renderer/core/dom/document.h,1806,static uint64_t global_tree_version_;,Link,Member,No,No,No,Global counter,
third_party/blink/renderer/core/dom/events/event_dispatch_forbidden_scope.h,53,CORE_EXPORT static unsigned count_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/events/scoped_event_queue.h,66,static ScopedEventQueue* instance_;,Link,Member,Yes,No,No,Not scoped at all! - Holds MakeGarbageCollected<HeapVector<Member<Event>>>(),
third_party/blink/renderer/core/dom/mutation_observer.cc,86,static unsigned g_observer_priority = 0;,Link,Global,No,No,No,Counter to generate ids,
third_party/blink/renderer/core/dom/node_child_removal_tracker.h,53,CORE_EXPORT static NodeChildRemovalTracker* last_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/qualified_name.cc,51,  static QualifiedNameCache* g_name_cache = new QualifiedNameCache;,Link,Global,Yes,No,No,,
third_party/blink/renderer/core/dom/range.cc,103,static int scope_count_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/range.cc,109,static Range* current_range_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/tree_ordered_map.cc,47,static int g_remove_scope_level = 0;,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/tree_scope_adopter.cc,127,static bool g_did_move_to_new_document_was_called = false;,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/tree_scope_adopter.cc,128,static Document* g_old_document_did_move_to_new_document_was_called_with =,Link,Global,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/user_gesture_indicator.h,108,static UserGestureToken* root_token_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/dom/weak_identifier_map.h,71,static IdentifierType last_id = 0;,Link,Local,Yes,No,No,Counter to generate ids,
third_party/blink/renderer/core/editing/commands/smart_replace_cf.cc,37,static CFMutableCharacterSetRef pre_smart_set = nullptr;,Link,Local,No,No,No,Should be ThreadSpecific if we have multiple main threads,
third_party/blink/renderer/core/editing/commands/smart_replace_cf.cc,38,static CFMutableCharacterSetRef post_smart_set = nullptr;,Link,Local,No,No,No,Should be ThreadSpecific if we have multiple main threads,
third_party/blink/renderer/core/editing/commands/smart_replace_icu.cc,50,static USet* pre_smart_set = nullptr;,Link,Local,No,No,No,Should be ThreadSpecific if we have multiple main threads,
third_party/blink/renderer/core/editing/commands/smart_replace_icu.cc,51,static USet* post_smart_set = nullptr;,Link,Local,No,No,No,Should be ThreadSpecific if we have multiple main threads,
third_party/blink/renderer/core/editing/commands/undo_step.cc,20,uint64_t g_current_sequence_number = 0;,Link,Global,No,No,No,Counter to generate ids. Should be ThreadSpecific if we have multiple main threads,
third_party/blink/renderer/core/editing/editing_style.h,77,static float no_font_delta_;,Link,Member,No,Yes,Yes,Constexpr,
third_party/blink/renderer/core/editing/iterators/text_searcher_icu.cc,73,static ICULockableSearcher searcher(CreateSearcher());,Link,Local,No,No,No,Should be ThreadSpecific if we have multiple main threads,
third_party/blink/renderer/core/editing/markers/suggestion_marker_replacement_scope.h,24,static bool currently_in_scope_;,Link,Member,No,No,No,Scoped state,
third_party/blink/renderer/core/editing/markers/suggestion_marker.h,46,static int32_t current_tag_;,Link,Member,No,No,No,Counter to generate ids. Could be ThreadSpecific or AtomicSequenceNumber if we have multiple main threads,
