3d834eff7e8a7b251a7a426a118c3fe872b3d44b,,Remainder,,0,0,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Done,,205,205,198,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,%Done,,100.0%,100.0%,96.6%,85.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,Line,Type,Link,Const?,IsolateBound?,ThreadBound?,InitOnce?,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/bluetooth/bluetooth_uuid.cc,295,NameToAssignedNumberMap,Link,No,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/broadcastchannel/broadcast_channel.cc,24,ThreadSpecific<mojom::blink::BroadcastChannelProviderPtr>,Link,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/encryptedmedia/media_key_system_access_initializer_base.cc,202,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/idb_object_store.cc,311,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/idb_object_store.cc,546,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/idb_request_loader.cc,133,SparseHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/indexeddb/indexed_db_dispatcher.cc,16,ThreadSpecific<IndexedDBDispatcher>,Link,No,No,Yes,,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/media_capabilities/media_capabilities.cc,254,const String,Link,Yes,No,No,,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/media_capabilities/media_capabilities.cc,282,const String,Link,Yes,No,No,,"Should be constexpr, and is a dupicated variable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/notifications/notification_image_loader.cc,26,CustomCountHistogram,Link,No,No,No,No,Histogram (actually a macro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/notifications/notification_manager.cc,160,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/notifications/service_worker_registration_notifications.cc,67,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_content_settings_proxy.cc,35,ThreadSpecific<mojom::blink::WorkerContentSettingsProxyPtr>,Link,No,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,390,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,397,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,429,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,433,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,439,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,815,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,823,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,1201,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,1207,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/service_worker/service_worker_global_scope.cc,1216,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webdatabase/database_authorizer.cc,63,FunctionNameList,Link,No,No,No,Yes,Should be const,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webdatabase/database_tracker.cc,64,DatabaseTracker,Link,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webdatabase/database.cc,151,DatabaseVersionCache,Link,No,Yes,No,,Probably isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webdatabase/quota_tracker.cc,42,QuotaTracker,Link,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webdatabase/sqlite/sandboxed_vfs.cc,141,SandboxedVfs,Link,No,No,No,,Probably not isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webgl/webgl_rendering_context_base.cc,128,Mutex,Link,No,No,No,No,"Protects a singleton, which might be isolate bound?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webgl/webgl_rendering_context_base.cc,135,ThreadSpecific<Persistent<WebGLRenderingContextBaseSet>>,Link,No,Yes,No,,Meant to be Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/webgl/webgl_rendering_context_base.cc,151,ThreadSpecific<Persistent<WebGLRenderingContextBaseMap>>,Link,No,Yes,No,,Meant to be Isolate bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/websockets/dom_websocket.cc,818,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/websockets/dom_websocket.cc,830,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/websockets/dom_websocket.cc,839,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/websockets/dom_websocket.cc,848,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/websockets/dom_websocket.cc,862,EnumerationHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/websockets/dom_websocket.cc,874,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/modules/websockets/dom_websocket.cc,883,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/audio/hrtf_elevation.cc,73,AudioBusMap,Link,No,No,No,No,"HashMap<String, scoped_refptr<AudioBus>>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/audio/hrtf_elevation.cc,74,Mutex,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/bindings/dom_wrapper_world.cc,52,ThreadSpecific<WorldMap>,Link,No,No,Yes,No,"HashMap<int, DOMWrapperWorld*>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/bindings/dom_wrapper_world.cc,211,ThreadSpecific<int>,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/bindings/script_forbidden_scope.cc,19,WTF::ThreadSpecific<unsigned>,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/blob/blob_bytes_provider.cc,186,BooleanHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/blob/blob_bytes_provider.cc,188,BooleanHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/blob/blob_data.cc,92,ThreadSpecific<BlobRegistryPtr>,Link,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/file_metadata.cc,77,ThreadSpecific<mojom::blink::FileUtilitiesHostPtr>,Link,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/android/font_cache_android.cc,70,AtomicString,Link,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_cache.cc,343,CustomCountHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_global_context.cc,15,ThreadSpecific<FontGlobalContext*>,Link,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,81,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,88,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,165,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,175,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,181,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,187,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,192,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,198,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,204,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,210,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,216,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,222,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,228,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,234,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,244,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,250,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,256,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,262,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,268,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,274,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,280,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,286,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,292,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,298,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/font_selection_types.h,304,const FontSelectionValue,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/fuchsia/font_cache_fuchsia.cc,32,AtomicString,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/linux/font_cache_linux.cc,39,AtomicString,Link,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/script_run_iterator_test.cc,33,const MockScriptData,Link,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/script_run_iterator.cc,136,const ICUScriptData,Link,Yes,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/shaping/harfbuzz_face.cc,349,BooleanHistogram,Link,No,No,No,No,Histogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/skia/font_cache_skia.cc,126,const FontFaceCreationParams,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/skia/font_cache_skia.cc,133,const FontFaceCreationParams,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/skia/font_cache_skia.cc,142,const FontFaceCreationParams,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
third_party/blink//renderer/platform/fonts/skia/font_cache_skia.cc,150,const FontFaceCreationParams,Link,Yes,No,No,Yes,Should be constexpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
